gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
AK FINTECH SOLUTIONS LTDA | e0723a9d-0762-47ab-9289-0ca8c40659d1,55781283000148,AK FINTECH SOLUTIONS LTDA
ALL BETS | 7c9f7d22-f0ef-4f9c-b550-7a9fc18efcdc,93138451001223,ALL BETS
BRAND FORCE MASTERY LTDA | 8542a55f-6dbc-41e3-9ade-189f2ecd062f,44708338000178,BRAND FORCE MASTERY LTDA
Suitpay Instituicao de Pagamentos Ltda             | e9cb77b8-f22a-4ba3-8e2f-b9147eb853a1,38333425000195,Suitpay Instituicao de Pagamentos Ltda
BRAND FORCE MASTERY LTDA | 44708338000178,44708338000178,BRAND FORCE MASTERY LTDA
CLEARPAY SOLUCOES FINANCEIRAS LTDA | 91c5e3b5-2006-40d1-ad29-b9ec9163aa8e,56907517000113,CLEARPAY SOLUCOES FINANCEIRAS LTDA
ODDSGATE | 241c0b7d-dcc1-4cec-85cd-bb8ff1c9b574,26264220000116,ODDSGATE
PAGFAST COBRANCA E SERVICOS EM TECNOLOGIA S.A. | 11d82f04-538e-4bb2-919d-36a8c51424cf,46261360000148,PAGFAST COBRANCA E SERVICOS EM TECNOLOGIA S.A.
AK FINTECH SOLUTIONS LTDA | 07a4960b-fd9d-48f6-bc9c-0720785e7f3b,55781283000148,AK FINTECH SOLUTIONS LTDA
POWERFULL TECNOLOGIA LTDA | e3a6e8cd-e98e-4da7-96b5-d15dd520c84c,49440778000100,POWERFULL TECNOLOGIA LTDA
TRANSFERSMILE LTDA | 1513db6b-8b31-4c4d-bab4-7268d07a156a,37753531000165,TRANSFERSMILE LTDA
ANA GAMING BRASIL SA | 0017eeb4-ec2b-4909-a6b1-b762a02b744a,55933850000134,ANA GAMING BRASIL SA
OIG GAMING BRAZIL LTDA | eb578736-460e-4745-bcf0-71f0e3a11eca,55459453000172,OIG GAMING BRAZIL LTDA
SUPREMA BET LTDA | 4ff0a7c3-2da2-451c-ba22-5d0e195f5e39,56183358000151,SUPREMA BET LTDA
